127.0.0.1 - - [14/Jun/2019:11:48:22 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [14/Jun/2019:11:48:24 +0900] "GET /Basic_JSP/jdbc07/useJDBC.jsp HTTP/1.1" 500 243
0:0:0:0:0:0:0:1 - - [14/Jun/2019:11:52:28 +0900] "GET /Basic_JSP/jdbc07/useJDBC.jsp HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [14/Jun/2019:11:54:07 +0900] "GET /Basic_JSP/jdbc07/useJDBC.jsp HTTP/1.1" 200 2289
0:0:0:0:0:0:0:1 - - [14/Jun/2019:11:54:27 +0900] "GET /Basic_JSP/jdbc07/useJDBC.jsp HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [14/Jun/2019:11:55:25 +0900] "GET /Basic_JSP/jdbc07/useJDBC.jsp HTTP/1.1" 200 2434
0:0:0:0:0:0:0:1 - - [14/Jun/2019:11:55:50 +0900] "GET /Basic_JSP/jdbc07/useJDBC.jsp HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [14/Jun/2019:11:56:53 +0900] "GET /Basic_JSP/jdbc07/useJDBC.jsp HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [14/Jun/2019:12:03:51 +0900] "GET /Basic_JSP/jdbc07/useJDBC.jsp HTTP/1.1" 200 2506
