127.0.0.1 - - [11/Oct/2019:10:42:41 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:42:43 +0900] "GET /Basic_JSP/prac/home.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:42:51 +0900] "POST /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:43:24 +0900] "GET /Basic_JSP/prac/home.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:43:26 +0900] "POST /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:43:34 +0900] "GET /Basic_JSP/prac/home.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:43:43 +0900] "POST /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:43:53 +0900] "GET /Basic_JSP/prac/home.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:43:59 +0900] "POST /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 394
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:45:13 +0900] "GET /Basic_JSP/prac/home.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:45:39 +0900] "GET /Basic_JSP/prac/home.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:45:47 +0900] "POST /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:46:38 +0900] "GET /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:46:52 +0900] "GET /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:47:16 +0900] "GET /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:47:33 +0900] "GET /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:47:43 +0900] "GET /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:47:58 +0900] "GET /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:48:06 +0900] "GET /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [11/Oct/2019:10:48:19 +0900] "GET /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [11/Oct/2019:11:11:13 +0900] "GET /Basic_JSP/prac/home.jsp HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [11/Oct/2019:11:11:15 +0900] "POST /Basic_JSP/prac/mainhome.jsp HTTP/1.1" 200 411
